x y
5963.17361439205 -14387.310793046705
5959.556654472365 -14237.840975461677
5912.7991572018855 -14208.669295003177
5928.085840535958 -14045.933644556897
5928.004669365144 -14045.892309641915
5900.457434850132 -13889.880275008902
5900.375959647466 -13889.839611310428
5893.900103406734 -13743.495348449156
5858.083205161689 -13742.93639540832
5858.0 -13742.894960311769
5906.714013895393 -13617.650167917282
5972.770193140407 -13616.124903543563
6013.329336665779 -13615.606363747285
6096.434064720998 -13613.0
6216.853400822317 -13796.26528815394
6368.069216744693 -13972.595787767295
6523.180907497019 -14234.361629530316
6708.619002154789 -14519.691718897264
6906.589432023342 -14837.540054003766
7115.5794163893415 -15184.664609035037
7331.452344090246 -15553.52963627817
7545.970552082004 -15935.109507776382
7754.077243907151 -16326.209633687362
7952.540703207223 -16726.668220778698
8137.751307364586 -17137.7059814572
8304.02828343785 -17557.391915998505
8439.527634998825 -18003.450648331687
8538.274869444791 -18477.593980910184
8602.373673841645 -18970.626548146454
8639.0 -19472.90487229901
8633.819635040943 -19984.195029406426
8563.19090207164 -20507.700325107435
8418.332169946436 -21029.87911666576
8219.266425323869 -21551.61129879367
7942.849465652755 -22066.444777781813
7634.875777621923 -22558.173582091345
7333.782721572728 -22977.173974162415
7051.337841479142 -23319.19384752027
6797.914935295055 -23597.04943016687
6589.526907328198 -23781.219718534037
6428.458183580139 -23852.0
10737.595094776894 -3975.769762891374
10736.294901136334 -3975.3169602563503
10735.280689061943 -3975.0
10738.180588421688 -4205.58661111776
10614.91066589218 -4544.160519555015
10473.946093426533 -4943.859452351793
10304.155377215193 -5479.555312967936
10084.359794027656 -6083.831884248453
9819.68304096592 -6795.611782388276
9517.81501344177 -7581.206318739245
9180.179961943286 -8403.513326671158
8782.0431524127 -9332.328950534042
8323.800778147468 -10365.76748547907
7802.3546155305185 -11484.990249571485
7224.4602716291465 -12693.851410038105
6657.313085974559 -13947.959547329901
6140.585913588442 -15207.797725189306
5709.938674765925 -16422.684735772986
5377.99722510294 -17538.47878844783
5116.114650838789 -18553.655459275666
4958.456414681287 -19473.963479493228
4915.0 -20256.921010919817
5010.003247908056 -20861.542549289963
5199.341009814452 -21427.59108421245
5486.519788986405 -21830.54354391824
5886.755240921645 -22059.267636232322
6375.540890966033 -22166.0
6936.44540904872 -22149.653767409935
7575.676930305353 -21932.79338825326
8303.470603206762 -21508.21161087046
8994.658565510934 -21026.219228490747
9654.032591198953 -20499.820841357774
10267.896159770622 -19924.752167909544
10813.589817051532 -19285.734396428372
11273.426009348539 -18627.303177927315
11613.406942213536 -17994.33880639341
11818.223403809956 -17408.204824671062
11851.947727926366 -16943.14748497801
11727.235414927045 -16635.763765685428
11508.220118700025 -16529.336070628284
11187.79417399042 -16550.141054170046
10814.258293296149 -16707.354430348216
10388.646167907616 -16984.1265069305
9940.097367259137 -17390.38170510475
9497.304605747242 -17892.837669208748
9103.333204930965 -18502.027077465926
8794.725853711383 -19117.24287603291
8591.529295417815 -19719.706884562846
8531.048389664527 -20265.694821551933
8612.13121406841 -20739.11326461673
8825.893104050192 -21093.10373392271
9128.668723689269 -21257.59998874527
9535.617732809817 -21350.43643423315
9979.015223689006 -21299.340682474096
10450.735660950031 -21145.556449867694
10921.16118497845 -20905.74436118403
11390.162086631015 -20593.05810986554
11842.346169970519 -20196.167693190997
12268.92894104623 -19722.57314728997
12628.992544255954 -19200.006887519652
12953.814468100374 -18583.0667936973
